Sequoia_ID,Season_Year,Species,Harvest_Date,How_Taken,Harvest_BMU,Harvest_County,Registration_Sex,BirthYear,Latitude,Longitude
BB21_256,2021,Black Bear,15-Sep-21,Hunting,Amasa,Iron,F,2018,46.0794247835,-87.0644919322
BB21_257,2021,Black Bear,10-Sep-21,Hunting,Newberry,Mackinac,M,2016,46.9168083931,-88.6896961232
BB21_253,2021,Black Bear,13-Sep-21,Hunting,Carney,Dickinson,F,2002,47.336717895,-88.3096664202
BB21_261,2021,Black Bear,15-Sep-21,Hunting,Gwinn,Dickinson,F,2018,47.4089201751,-88.2262214694
BB21_260,2021,Black Bear,9-Sep-21,Hunting,Carney,Dickinson,M,2016,47.3659247845,-88.0142214647
BB21_259,2021,Black Bear,8-Sep-21,Hunting,Amasa,Marquette,M,2019,46.3246063778,-85.8335929231
BB21_263,2021,Black Bear,14-Sep-21,Hunting,Newberry,Chippewa,M,2021,46.4404458784,-86.3136303625
BB21_266,2021,Black Bear,17-Sep-21,Hunting,Gwinn,Marquette,U,2007,46.1379122655,-88.7726303474
BB21_262,2021,Black Bear,27-Sep-21,Hunting,Amasa,Iron,F,2017,45.9493140175,-87.3364208207
BB21_264,2021,Black Bear,8-Sep-21,Hunting,Amasa,Iron,F,2019,46.0661581097,-88.2322850293
BB21_265,2021,Black Bear,14-Sep-21,Hunting,Amasa,Iron,F,2018,46.1084158544,-87.460643196
BB21_270,2021,Black Bear,10-Sep-21,Hunting,Amasa,Iron,F,2010,46.180799011,-87.4604876115
BB21_271,2021,Black Bear,14-Sep-21,Hunting,Amasa,Iron,F,2020,46.0365365306,-88.3149534471
BB21_269,2021,Black Bear,8-Sep-21,Hunting,Carney,Menominee,F,2020,46.3984417879,-89.4602540476
BB21_268,2021,Black Bear,27-Sep-21,Hunting,Newberry,Mackinac,M,2021,46.80118235,-88.9426989863
BB21_267,2021,Black Bear,9-Sep-21,Hunting,Newberry,Chippewa,F,2021,46.2378209443,-86.354914526
BB21_274,2021,Black Bear,25-Sep-21,Hunting,Amasa,Baraga,M,2018,46.1373047854,-87.2103065165
BB21_273,2021,Black Bear,30-Sep-21,Hunting,Gwinn,Dickinson,M,2020,46.0791506552,-87.2525231615
